Date of Encashment,Name of the Political Party,Denomination,count
2021-07-13,ALL INDIA TRINAMOOL CONGRESS,100000,20
2021-07-13,ALL INDIA TRINAMOOL CONGRESS,1000000,28
2021-07-13,ALL INDIA TRINAMOOL CONGRESS,10000000,20
2021-07-14,ALL INDIA TRINAMOOL CONGRESS,100000,1
2021-07-14,ALL INDIA TRINAMOOL CONGRESS,1000000,55
2021-07-14,ALL INDIA TRINAMOOL CONGRESS,10000000,4
2021-07-14,BHARTIYA JANTA PARTY,1000000,50
2021-07-14,BHARTIYA JANTA PARTY,10000000,10
2021-07-15,ALL INDIA TRINAMOOL CONGRESS,100000,23
2021-07-15,ALL INDIA TRINAMOOL CONGRESS,1000000,32
2021-07-15,ALL INDIA TRINAMOOL CONGRESS,10000000,3
2021-07-16,ALL INDIA TRINAMOOL CONGRESS,10000,13
2021-07-16,ALL INDIA TRINAMOOL CONGRESS,100000,16
2021-07-16,ALL INDIA TRINAMOOL CONGRESS,1000000,28
2021-07-16,ALL INDIA TRINAMOOL CONGRESS,10000000,1
2021-07-17,BHARTIYA JANTA PARTY,10000000,3
2021-07-19,AAM AADMI PARTY,100000,5
2021-07-19,AAM AADMI PARTY,1000000,2
2021-07-23,ALL INDIA TRINAMOOL CONGRESS,10000000,1
2021-10-05,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000,12
2021-10-07,BIJU JANATA DAL,10000000,70
2021-10-07,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",100000,13
2021-10-07,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",1000000,3
2021-10-07,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000,12
2021-10-08,ALL INDIA TRINAMOOL CONGRESS,1000000,15
2021-10-08,ALL INDIA TRINAMOOL CONGRESS,10000000,34
2021-10-08,BHARAT RASHTRA SAMITHI,10000000,85
2021-10-11,ALL INDIA TRINAMOOL CONGRESS,100000,15
2021-10-11,ALL INDIA TRINAMOOL CONGRESS,1000000,66
2021-10-11,ALL INDIA TRINAMOOL CONGRESS,10000000,68
2021-10-11,BHARAT RASHTRA SAMITHI,1000000,10
2021-10-11,BHARAT RASHTRA SAMITHI,10000000,67
2021-10-11,BHARTIYA JANTA PARTY,10000000,7
2021-10-11,BIJU JANATA DAL,10000000,11
2021-10-11,DMK PARTY IN PARLIAMENT,10000000,99
2021-10-11,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000,5
2021-10-11,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",100000,31
2021-10-11,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",1000000,8
2021-10-11,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000,1
2021-10-12,BIJU JANATA DAL,10000000,44
2021-10-12,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",1000,5
2021-10-12,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000,24
2021-10-12,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",100000,103
2021-10-12,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",1000000,3
2021-10-12,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000,5
2021-10-13,BHARTIYA JANTA PARTY,1000000,10
2021-10-13,BHARTIYA JANTA PARTY,10000000,54
2021-10-16,ALL INDIA TRINAMOOL CONGRESS,100000,69
2021-10-16,ALL INDIA TRINAMOOL CONGRESS,1000000,55
2021-10-16,ALL INDIA TRINAMOOL CONGRESS,10000000,19
2021-10-18,ALL INDIA TRINAMOOL CONGRESS,1000000,14
2021-10-18,ALL INDIA TRINAMOOL CONGRESS,10000000,5
2021-10-19,ALL INDIA TRINAMOOL CONGRESS,100000,10
2021-10-20,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",1000000,5
2022-01-06,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000,10
2022-01-06,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",100000,37
2022-01-06,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",1000000,46
2022-01-06,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000,13
2022-01-06,SHIVSENA (POLITICAL PARTY),10000000,25
2022-01-10,AAM AADMI PARTY,10000000,2
2022-01-10,ADYAKSHA SAMAJVADI PARTY,100000,1
2022-01-10,ADYAKSHA SAMAJVADI PARTY,1000000,2
2022-01-10,ALL INDIA TRINAMOOL CONGRESS,10000000,69
2022-01-10,BHARTIYA JANTA PARTY,100000,5
2022-01-10,BHARTIYA JANTA PARTY,1000000,12
2022-01-10,BHARTIYA JANTA PARTY,10000000,250
2022-01-10,BIHAR PRADESH JANTA DAL(UNITED),10000000,10
2022-01-10,BIJU JANATA DAL,10000000,20
2022-01-10,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000,20
2022-01-11,ALL INDIA TRINAMOOL CONGRESS,10000000,29
2022-01-11,BIJU JANATA DAL,10000000,17
2022-01-11,DMK PARTY IN PARLIAMENT,10000000,100
2022-01-11,NATIONALIST CONGRESS PARTY PARLIAMENT OF,10000000,10
2022-01-11,SHIVSENA (POLITICAL PARTY),10000000,4
2022-01-12,AAM AADMI PARTY,100000,5
2022-01-12,AAM AADMI PARTY,1000000,2
2022-01-12,BHARTIYA JANTA PARTY,100000,5
2022-01-12,BHARTIYA JANTA PARTY,1000000,117
2022-01-12,BHARTIYA JANTA PARTY,10000000,82
2022-01-12,GOA FORWARD PARTY,100000,15
2022-01-12,GOA FORWARD PARTY,1000000,2
2022-01-12,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",100000,17
2022-01-12,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",1000000,27
2022-01-12,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000,48
2022-01-13,ADYAKSHA SAMAJVADI PARTY,10000000,3
2022-01-13,ALL INDIA TRINAMOOL CONGRESS,10000000,60
2022-01-13,BIJU JANATA DAL,1000000,30
2022-01-13,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",100000,110
2022-01-13,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",1000000,44
2022-01-13,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000,22
2022-01-14,AAM AADMI PARTY,1000000,5
2022-01-14,ALL INDIA TRINAMOOL CONGRESS,10000000,51
2022-01-14,BHARTIYA JANTA PARTY,1000000,15
2022-01-14,BHARTIYA JANTA PARTY,10000000,174
2022-01-14,SHIROMANI AKALI DAL,1000000,5
2022-01-15,ALL INDIA TRINAMOOL CONGRESS,1000000,60
2022-01-15,NATIONALIST CONGRESS PARTY PARLIAMENT OF,100000,10
2022-01-15,NATIONALIST CONGRESS PARTY PARLIAMENT OF,1000000,1
2022-01-17,ALL INDIA TRINAMOOL CONGRESS,100000,10
2022-01-17,ALL INDIA TRINAMOOL CONGRESS,1000000,55
2022-01-17,BHARTIYA JANTA PARTY,1000000,75
2022-01-17,BHARTIYA JANTA PARTY,10000000,100
2022-01-18,AAM AADMI PARTY,100000,25
2022-01-18,AAM AADMI PARTY,1000000,2
2022-01-18,BHARTIYA JANTA PARTY,1000000,5
2022-01-18,BHARTIYA JANTA PARTY,10000000,20
2022-01-18,MAHARASHTRAWADI GOMNTAK PARTY,100000,25
2022-01-18,MAHARASHTRAWADI GOMNTAK PARTY,1000000,3
2022-01-18,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",100000,60
2022-01-18,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",1000000,11
2022-01-18,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000,1
2022-01-20,BIJU JANATA DAL,10000000,10
2022-01-20,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",1000000,2
2022-01-21,AAM AADMI PARTY,100000,20
2022-01-21,ALL INDIA TRINAMOOL CONGRESS,100000,20
2022-01-21,ALL INDIA TRINAMOOL CONGRESS,1000000,2
2022-01-21,BHARTIYA JANTA PARTY,1000000,7
2022-01-21,BHARTIYA JANTA PARTY,10000000,13
2022-01-24,ALL INDIA TRINAMOOL CONGRESS,1000000,2
2022-01-24,ALL INDIA TRINAMOOL CONGRESS,10000000,3
2022-04-06,BHARAT RASHTRA SAMITHI,10000000,50
2022-04-08,ALL INDIA TRINAMOOL CONGRESS,10000000,15
2022-04-11,BHARAT RASHTRA SAMITHI,1000000,20
2022-04-11,BHARAT RASHTRA SAMITHI,10000000,90
2022-04-11,BIJU JANATA DAL,10000000,3
2022-04-11,DMK PARTY IN PARLIAMENT,10000000,100
2022-04-12,BHARAT RASHTRA SAMITHI,10000000,268
2022-04-12,BHARTIYA JANTA PARTY,10000000,43
2022-04-13,BHARAT RASHTRA SAMITHI,10000,37
2022-04-13,BHARAT RASHTRA SAMITHI,100000,45
2022-04-13,BHARAT RASHTRA SAMITHI,1000000,5
2022-04-13,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",100000,10
2022-04-13,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",1000000,49
2022-04-13,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000,3
2022-04-18,BHARTIYA JANTA PARTY,1000000,5
2022-04-18,BHARTIYA JANTA PARTY,10000000,55
2022-04-18,YSR CONGRESS PARTY (YUVAJANA SRAMIKA R,10000000,10
2022-04-19,ALL INDIA TRINAMOOL CONGRESS,10000000,3
2022-07-04,BIJU JANATA DAL,10000000,50
2022-07-05,BHARAT RASHTRA SAMITHI,10000000,10
2022-07-05,TELUGU DESAM PARTY,10000000,3
2022-07-06,BHARAT RASHTRA SAMITHI,10000000,25
2022-07-06,BIJU JANATA DAL,10000000,45
2022-07-06,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",1000000,30
2022-07-06,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000,12
2022-07-08,DMK PARTY IN PARLIAMENT,10000000,50
2022-07-11,ALL INDIA TRINAMOOL CONGRESS,10000000,19
2022-07-11,BHARAT RASHTRA SAMITHI,1000000,15
2022-07-11,BHARAT RASHTRA SAMITHI,10000000,6
2022-07-11,BIJU JANATA DAL,10000000,7
2022-07-11,DMK PARTY IN PARLIAMENT,10000000,25
2022-07-11,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",1000000,10
2022-07-11,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000,34
2022-07-11,TELUGU DESAM PARTY,10000000,5
2022-07-12,ALL INDIA TRINAMOOL CONGRESS,1000000,5
2022-07-12,ALL INDIA TRINAMOOL CONGRESS,10000000,44
2022-07-12,BHARTIYA JANTA PARTY,1000000,5
2022-07-12,BHARTIYA JANTA PARTY,10000000,12
2022-07-12,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",100000,10
2022-07-12,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",1000000,4
2022-07-13,BHARAT RASHTRA SAMITHI,10000000,8
2022-07-13,BIJU JANATA DAL,1000000,10
2022-07-13,BIJU JANATA DAL,10000000,4
2022-07-14,ALL INDIA TRINAMOOL CONGRESS,10000000,3
2022-07-16,BHARAT RASHTRA SAMITHI,1000000,5
2022-07-16,BHARAT RASHTRA SAMITHI,10000000,12
2022-07-19,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000,7
2022-10-10,AAM AADMI PARTY,10000000,2
2022-10-10,BHARAT RASHTRA SAMITHI,10000000,25
2022-10-10,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000,15
2022-10-11,ALL INDIA TRINAMOOL CONGRESS,10000000,10
2022-10-11,BHARAT RASHTRA SAMITHI,1000000,10
2022-10-11,BHARAT RASHTRA SAMITHI,10000000,29
2022-10-11,BHARTIYA JANTA PARTY,10000000,79
2022-10-11,BIJU JANATA DAL,1000000,10
2022-10-11,BIJU JANATA DAL,10000000,34
2022-10-12,AAM AADMI PARTY,10000000,2
2022-10-12,ALL INDIA TRINAMOOL CONGRESS,10000000,50
2022-10-12,DMK PARTY IN PARLIAMENT,10000000,10
2022-10-12,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",1000000,2
2022-10-12,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000,5
2022-10-13,ALL INDIA TRINAMOOL CONGRESS,10000000,30
2022-10-13,SIKKIM KRANTIKARI MORCHA,10000000,2
2022-10-13,TELUGU DESAM PARTY,10000000,5
2022-10-13,YSR CONGRESS PARTY (YUVAJANA SRAMIKA R,10000000,5
2022-10-14,AAM AADMI PARTY,100000,20
2022-10-14,AAM AADMI PARTY,1000000,24
2022-10-14,AAM AADMI PARTY,10000000,5
2022-10-14,ALL INDIA TRINAMOOL CONGRESS,10000000,20
2022-10-14,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",1000000,50
2022-10-14,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000,8
2022-10-15,AAM AADMI PARTY,100000,5
2022-10-15,AAM AADMI PARTY,1000000,9
2022-10-15,AAM AADMI PARTY,10000000,6
2022-10-15,ALL INDIA TRINAMOOL CONGRESS,1000000,21
2022-10-15,ALL INDIA TRINAMOOL CONGRESS,10000000,31
2022-10-15,BHARTIYA JANTA PARTY,1000000,10
2022-10-15,BHARTIYA JANTA PARTY,10000000,99
2022-10-18,BHARTIYA JANTA PARTY,1000000,5
2022-10-18,BHARTIYA JANTA PARTY,10000000,12
2022-10-18,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",1000000,30
2022-10-18,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000,1
2022-10-20,AAM AADMI PARTY,1000000,14
2022-10-20,AAM AADMI PARTY,10000000,5
2022-10-20,JANASENA PARTY,10000000,2
2022-10-21,AAM AADMI PARTY,1000000,5
2022-10-21,BHARTIYA JANTA PARTY,10000000,31
2022-11-14,AAM AADMI PARTY,10000000,5
2022-11-14,BHARTIYA JANTA PARTY,10000000,200
2022-11-14,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",1000000,4
2022-11-16,BHARTIYA JANTA PARTY,100000,5
2022-11-16,BHARTIYA JANTA PARTY,1000000,7
2022-11-16,BHARTIYA JANTA PARTY,10000000,201
2022-11-16,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000,17
2022-11-17,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000,10
2022-11-18,BHARTIYA JANTA PARTY,1000,29
2022-11-18,BHARTIYA JANTA PARTY,10000,27
2022-11-18,BHARTIYA JANTA PARTY,100000,67
2022-11-18,BHARTIYA JANTA PARTY,1000000,19
2022-11-18,BHARTIYA JANTA PARTY,10000000,185
2022-11-18,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",100000,21
2022-11-18,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",1000000,11
2022-11-18,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000,9
2022-11-18,YSR CONGRESS PARTY (YUVAJANA SRAMIKA R,10000000,12
2022-11-19,AAM AADMI PARTY,10000000,2
2022-11-21,AAM AADMI PARTY,1000000,10
2022-11-21,BHARTIYA JANTA PARTY,1000000,5
2022-11-21,BHARTIYA JANTA PARTY,10000000,13
2022-11-22,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000,5
2022-11-23,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",1000000,2
2022-11-23,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000,2
2022-11-23,YSR CONGRESS PARTY (YUVAJANA SRAMIKA R,100000,50
2022-11-23,YSR CONGRESS PARTY (YUVAJANA SRAMIKA R,1000000,25
2022-11-23,YSR CONGRESS PARTY (YUVAJANA SRAMIKA R,10000000,1
2022-11-24,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",1000000,5
2022-11-24,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000,1
2022-11-28,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000,3
2022-12-09,AAM AADMI PARTY,10000000,1
2022-12-12,YSR CONGRESS PARTY (YUVAJANA SRAMIKA R,10000000,20
2022-12-13,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000,8
2022-12-14,AAM AADMI PARTY,10000000,2
2022-12-14,ALL INDIA TRINAMOOL CONGRESS,10000000,15
2022-12-14,BHARTIYA JANTA PARTY,1000000,20
2022-12-14,BHARTIYA JANTA PARTY,10000000,107
2022-12-15,AAM AADMI PARTY,10000000,2
2022-12-15,ALL INDIA TRINAMOOL CONGRESS,1000000,10
2022-12-16,AAM AADMI PARTY,1000000,1
2022-12-16,AAM AADMI PARTY,10000000,3
2022-12-16,BHARTIYA JANTA PARTY,10000000,49
2022-12-16,YSR CONGRESS PARTY (YUVAJANA SRAMIKA R,10000000,1
2022-12-17,AAM AADMI PARTY,10000000,3
2022-12-19,ALL INDIA TRINAMOOL CONGRESS,10000000,1
2022-12-19,BHARTIYA JANTA PARTY,10000000,7
2022-12-20,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000,10
2023-01-24,TELUGU DESAM PARTY,10000000,6
2023-01-27,ALL INDIA TRINAMOOL CONGRESS,10000000,20
2023-01-27,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",100000,21
2023-01-27,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",1000000,7
2023-01-30,ALL INDIA TRINAMOOL CONGRESS,1000000,15
2023-01-30,ALL INDIA TRINAMOOL CONGRESS,10000000,39
2023-01-30,BHARTIYA JANTA PARTY,10000000,100
2023-01-31,BHARAT RASHTRA SAMITHI,100000,5
2023-01-31,TELUGU DESAM PARTY,10000000,13
2023-02-01,ALL INDIA TRINAMOOL CONGRESS,10000000,20
2023-02-01,BHARTIYA JANTA PARTY,10000000,37
2023-02-01,BIJU JANATA DAL,1000000,20
2023-02-01,BIJU JANATA DAL,10000000,5
2023-02-01,JHARKHAND MUKTI MORCHA,100000,10
2023-02-01,JHARKHAND MUKTI MORCHA,1000000,9
2023-02-01,TELUGU DESAM PARTY,10000000,2
2023-02-02,SIKKIM KRANTIKARI MORCHA,1000000,5
2023-02-02,SIKKIM KRANTIKARI MORCHA,10000000,2
2023-02-04,BHARTIYA JANTA PARTY,100000,10
2023-02-04,BHARTIYA JANTA PARTY,1000000,5
2023-02-04,BHARTIYA JANTA PARTY,10000000,21
2023-02-07,BHARTIYA JANTA PARTY,1000000,22
2023-02-07,BHARTIYA JANTA PARTY,10000000,32
2023-02-07,SIKKIM KRANTIKARI MORCHA,10000000,3
2023-04-06,BHARAT RASHTRA SAMITHI,10000000,10
2023-04-06,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000,6
2023-04-10,DMK PARTY IN PARLIAMENT,10000000,40
